теории	theories
Конкретное	specific
каждый	each
исследователь	researcher
определение	definition
Содержание	maintenance
права	law (gen.)
нормативной	normative
социологической	sociological
кроликов	rabbits (gen.)
Классификация	classification
философской	philosophical
позитивистской	positivistic
Литература	literature
Ссылки	references
помочь	help
Гражданское право	civil liberties
Уголовное право	criminal law
Административное	administrative
Семейное	family
Экологическое	environmental
Информационное	information
Налоговое	fiscal
система	system
Философия	philosophy
Римское	Roman
Международное	international
Государство	state
аппарат	apparatus
Юридические	juridical
факты	facts
Презумпции	assumptions
Правонарушение	offence
Это	this
Просмотры	surveys
Править	guide
история	history
Навигация	navigation
Индекс	index
Участие	participation
Портал	portal
Форум	forum
Новые	new
страницы	pages
Справка	information
Пожертвования	donations
Поиск	search
файл	file
печати	press
других	other
языках	languages
