niños	children
articulo	article
sistemática	systematic
editar	edit
Portada	Main Page
Portal de la comunidad	Community Portal
Actualidad	Current events
Cambios recientes	Recent changes
Ayuda	Help
Donativos	Donations
buscar	search
Categorías	Categories
religión	religion
actividades	activities
Historia	History
Origen etimológico	etymological origin
Cultura	Cultura
Transporte	Transport
Turismo	Tourism
Arquitectura	Architecture
Enlaces externos	External links
cuerda	cord
mosquetones	lugs
caída	fall
anclaje	anchorage
elasticidad	elasticity
fuerza	force
