vigne	vine
vin	wine 
blanc	white
rouge	red
raisins	grapes
vins	wines
sucre	sugar
Romains	Romans
langue	language
langues	languages
officielle	official
dieux	gods
envoyés	sent
oiseaux	birds
ciel	sky
interprétation	interpretation
lire	read
prêtres	priests
crainte religieuse	religious belief
visions apocalyptiques	apocalyptic visions
prophéties	prophecies
maladies	diseases
cardiologie	cardiology
spécialité	speciality
médicale	medical
cœur	heart
médecin	doctor
cardiologue	cardiologist
examen	examination
clinique	clinical
Terminologie	Terminology
Principaux	principal
médicaments	drugs
circulation	circulation
Liens externes	External links
danse	dance
art	art
rituel	ritual
divertissement	entertainment
fonction	function
rôle	role
activité	activity
sportive	sporting
artistique	artistic
idées	ideas
émotions	emotions
histoire.	story, history
premier	first
âme	soul
réforme	reforms
ballet	ballet
siècle	century
apparaît	appears
romantique	romantic
légère	light
classique	clasical
se codifie	is codified
Déclin	decline
France	France
développement	development
Russie	Russia
Scandinavie	Scandinavia
Italie	Italy
encyclopédie	encyclopedia
libre	free
Liens internes	internal links
modifier	modify
Aide	help
autres	other
langues	languages
